Data anno corrente,Giorno settimana,Vendite R4,Scontrini R4
2017-01-02,Lunedi,2621.02,641.0
2017-01-03,Martedi,2656.17,566.0
2017-01-04,Mercoledi,2595.82,568.0
2017-01-05,Giovedi,2926.33,605.0
2017-01-06,Venerdi,2206.11,470.0
2017-01-07,Sabato,3042.33,679.0
2017-01-08,Domenica,2305.7,440.0
2017-01-09,Lunedi,2329.11,591.0
2017-01-10,Martedi,2200.75,586.0
2017-01-11,Mercoledi,2081.64,555.0
2017-01-12,Giovedi,2619.43,615.0
2017-01-13,Venerdi,2632.01,636.0
2017-01-14,Sabato,3397.14,723.0
2017-01-15,Domenica,2440.25,509.0
2017-01-16,Lunedi,2413.18,616.0
2017-01-17,Martedi,2684.89,613.0
2017-01-18,Mercoledi,2786.04,650.0
2017-01-19,Giovedi,2785.1,616.0
2017-01-20,Venerdi,2805.89,628.0
2017-01-21,Sabato,3752.62,791.0
2017-01-22,Domenica,2471.06,507.0
2017-01-23,Lunedi,2800.48,636.0
2017-01-24,Martedi,2311.37,582.0
2017-01-25,Mercoledi,2680.68,617.0
2017-01-26,Giovedi,2707.39,652.0
2017-01-27,Venerdi,3074.69,705.0
2017-01-28,Sabato,3346.97,744.0
2017-01-29,Domenica,2159.16,461.0
2017-01-30,Lunedi,2341.69,588.0
2017-01-31,Martedi,2430.98,591.0
2017-02-01,Mercoledi,2448.84,591.0
2017-02-02,Giovedi,2318.91,612.0
2017-02-03,Venerdi,2894.55,647.0
2017-02-04,Sabato,3351.18,770.0
2017-02-05,Domenica,2121.33,406.0
2017-02-06,Lunedi,2497.51,688.0
2017-02-07,Martedi,2336.6,621.0
2017-02-08,Mercoledi,2797.34,683.0
2017-02-09,Giovedi,3083.39,692.0
2017-02-10,Venerdi,3545.97,704.0
2017-02-11,Sabato,3412.86,779.0
2017-02-12,Domenica,2692.85,514.0
2017-02-13,Lunedi,2753.55,670.0
2017-02-14,Martedi,2817.72,645.0
