"Data anno corrente","Giorno settimana","Vendite R6","Scontrini R6"
"2017-09-22","Venerdi",4430.4,572.0
"2017-09-23","Sabato",8928.91,1098.0
"2017-09-24","Domenica",7441.47,897.0
"2017-09-25","Lunedi",5158.66,745.0
"2017-09-26","Martedi",5389.24,734.0
"2017-09-27","Mercoledi",5741.39,768.0
"2017-09-28","Giovedi",5804.6,737.0
"2017-09-29","Venerdi",8097.95,1024.0
"2017-09-30","Sabato",7501.61,916.0
"2017-10-01","Domenica",5545.49,691.0
"2017-10-02","Lunedi",3865.35,600.0
"2017-10-03","Martedi",3654.98,545.0
"2017-10-04","Mercoledi",3876.84,533.0
"2017-10-05","Giovedi",4720.63,655.0
"2017-10-06","Venerdi",6828.52,899.0
"2017-10-07","Sabato",6547.47,827.0
"2017-10-08","Domenica",5325.88,670.0
"2017-10-09","Lunedi",3467.88,504.0
"2017-10-10","Martedi",3932.08,590.0
"2017-10-11","Mercoledi",3827.16,538.0
"2017-10-12","Giovedi",5443.85,772.0
"2017-10-13","Venerdi",6432.71,900.0
"2017-10-14","Sabato",7085.12,908.0
"2017-10-15","Domenica",5165.68,657.0
"2017-10-16","Lunedi",3779.83,537.0
"2017-10-17","Martedi",3694.42,527.0
"2017-10-18","Mercoledi",3789.86,570.0
"2017-10-19","Giovedi",4514.99,661.0
"2017-10-20","Venerdi",6064.55,816.0
"2017-10-21","Sabato",7301.13,1148.0
"2017-10-22","Domenica",5302.03,674.0
"2017-10-23","Lunedi",3710.1,569.0
"2017-10-24","Martedi",3869.95,602.0
"2017-10-25","Mercoledi",3709.27,569.0
"2017-10-26","Giovedi",4192.78,622.0
"2017-10-27","Venerdi",6198.12,835.0
"2017-10-28","Sabato",6610.76,861.0
"2017-10-29","Domenica",5197.69,623.0
"2017-10-30","Lunedi",4312.34,618.0
"2017-10-31","Martedi",6215.76,847.0
"2017-11-01","Mercoledi",4590.04,617.0
"2017-11-02","Giovedi",3295.71,527.0
"2017-11-03","Venerdi",5062.42,752.0
"2017-11-04","Sabato",6587.44,830.0
"2017-11-05","Domenica",3856.44,496.0
"2017-11-06","Lunedi",3270.2,510.0
"2017-11-07","Martedi",3129.72,493.0
"2017-11-08","Mercoledi",4013.86,545.0
"2017-11-09","Giovedi",4128.22,633.0
"2017-11-10","Venerdi",5544.04,793.0
"2017-11-11","Sabato",5918.69,733.0
"2017-11-12","Domenica",4602.01,607.0
"2017-11-13","Lunedi",3589.17,481.0
"2017-11-14","Martedi",3983.74,537.0
"2017-11-15","Mercoledi",4865.49,655.0
"2017-11-16","Giovedi",4713.75,612.0
"2017-11-17","Venerdi",6842.49,915.0
"2017-11-18","Sabato",6900.97,876.0
"2017-11-19","Domenica",4849.27,648.0
"2017-11-20","Lunedi",3856.17,538.0
"2017-11-21","Martedi",3993.48,554.0
"2017-11-22","Mercoledi",4285.0,607.0
"2017-11-23","Giovedi",3902.5,492.0
"2017-11-24","Venerdi",6042.29,840.0
"2017-11-25","Sabato",5280.53,685.0
"2017-11-26","Domenica",5997.62,741.0
"2017-11-27","Lunedi",3126.33,501.0
"2017-11-28","Martedi",3477.48,525.0
"2017-11-29","Mercoledi",4098.33,575.0
"2017-11-30","Giovedi",4226.01,623.0
"2017-12-01","Venerdi",7461.27,1176.0
"2017-12-02","Sabato",6180.22,848.0
"2017-12-03","Domenica",4847.0,670.0
"2017-12-04","Lunedi",3867.46,608.0
"2017-12-05","Martedi",3990.05,585.0
"2017-12-06","Mercoledi",4367.46,601.0
"2017-12-07","Giovedi",6168.27,919.0
"2017-12-08","Venerdi",5037.69,709.0
"2017-12-09","Sabato",6309.36,843.0
"2017-12-10","Domenica",3665.81,460.0
"2017-12-11","Lunedi",4127.35,564.0
"2017-12-12","Martedi",4318.59,578.0
"2017-12-13","Mercoledi",5032.26,855.0
"2017-12-14","Giovedi",4652.68,674.0
"2017-12-15","Venerdi",6383.94,913.0
"2017-12-16","Sabato",6777.67,852.0
"2017-12-17","Domenica",5160.52,620.0
"2017-12-18","Lunedi",4187.77,651.0
"2017-12-19","Martedi",5606.95,807.0
"2017-12-20","Mercoledi",4753.47,650.0
"2017-12-21","Giovedi",5632.7,825.0
"2017-12-22","Venerdi",6948.89,937.0
"2017-12-23","Sabato",6137.86,772.0
"2017-12-24","Domenica",1241.1,152.0
"2017-12-25","Lunedi",1187.39,153.0
"2017-12-26","Martedi",3608.44,439.0
"2017-12-27","Mercoledi",3319.81,417.0
"2017-12-28","Giovedi",4081.52,512.0
"2017-12-29","Venerdi",4054.98,546.0
"2017-12-30","Sabato",5394.3,648.0
"2017-12-31","Domenica",1212.31,147.0
"2018-01-01","Lunedi",4954.5,569.0
"2018-01-02","Martedi",3727.63,516.0
"2018-01-03","Mercoledi",3785.94,497.0
"2018-01-04","Giovedi",4216.88,529.0
"2018-01-05","Venerdi",5231.98,677.0
"2018-01-06","Sabato",4656.86,582.0
"2018-01-07","Domenica",5485.86,580.0
"2018-01-08","Lunedi",3122.16,430.0
"2018-01-09","Martedi",4277.33,517.0
"2018-01-10","Mercoledi",4108.57,585.0
"2018-01-11","Giovedi",4638.22,632.0
"2018-01-12","Venerdi",7166.6,924.0
"2018-01-13","Sabato",7288.65,856.0
"2018-01-14","Domenica",4662.33,531.0
"2018-01-15","Lunedi",4112.8,508.0
"2018-01-16","Martedi",3996.11,558.0
"2018-01-17","Mercoledi",4635.03,635.0
"2018-01-18","Giovedi",4329.15,613.0
"2018-01-19","Venerdi",7612.37,1007.0
"2018-01-20","Sabato",6591.52,814.0
"2018-01-21","Domenica",4896.67,600.0
"2018-01-22","Lunedi",4148.21,563.0
"2018-01-23","Martedi",3829.89,544.0
"2018-01-24","Mercoledi",4259.88,609.0
"2018-01-25","Giovedi",5757.86,828.0
"2018-01-26","Venerdi",6819.95,915.0
"2018-01-27","Sabato",6306.36,770.0
"2018-01-28","Domenica",4605.31,514.0
"2018-01-29","Lunedi",3429.7,480.0
"2018-01-30","Martedi",4363.81,591.0
"2018-01-31","Mercoledi",4134.37,567.0
"2018-02-01","Giovedi",4482.7,613.0
"2018-02-02","Venerdi",7751.07,959.0
"2018-02-03","Sabato",6598.29,852.0
"2018-02-04","Domenica",5365.04,608.0
"2018-02-05","Lunedi",3563.65,484.0
"2018-02-06","Martedi",3857.58,531.0
"2018-02-07","Mercoledi",4650.45,620.0
