"row ID","Vendite R1","Vendite R2","Vendite R4","Vendite R5","Vendite R6"
"2017-09-24",7858.44,9441.14,3161.74,6890.1,7441.47
"2017-09-25",3252.04,7007.85,3088.18,4688.63,5158.66
"2017-09-26",3339.24,6075.87,2658.01,4579.1,5389.24
"2017-09-27",3508.8,5831.01,3149.58,4920.6,5741.39
"2017-09-28",3819.55,7114.35,2999.93,5373.64,5804.6
"2017-09-29",5624.99,9859.03,3570.48,6671.75,8097.95
"2017-09-30",9320.77,11790.04,3543.88,8247.91,7501.61
"2017-10-01",7651.28,9388.87,2911.4,6487.56,5545.49
"2017-10-02",3479.51,6753.69,2827.02,4338.53,3865.35
"2017-10-03",3286.2,5962.14,2803.64,4630.08,3654.98
"2017-10-04",3604.99,6018.7,2718.13,4711.88,3876.84
"2017-10-05",3511.44,7126.69,3159.03,4951.52,4720.63
"2017-10-06",5382.52,10573.87,3361.1,6270.24,6828.52
"2017-10-07",10004.25,11555.43,3626.09,8566.78,6547.47
"2017-10-08",6696.87,9429.95,2867.87,6628.14,5325.88
"2017-10-09",3099.42,5484.64,3162.55,4023.49,3467.88
"2017-10-10",3212.95,5707.6,2871.93,4456.11,3932.08
"2017-10-11",3616.06,6672.73,2922.68,4156.4,3827.16
"2017-10-12",3284.83,6727.75,2972.48,4886.1,5443.85
"2017-10-13",4814.46,10329.15,3320.74,6781.37,6432.71
"2017-10-14",8865.78,11022.03,3875.02,8412.74,7085.12
"2017-10-15",6253.31,9227.37,2731.84,6523.46,5165.68
"2017-10-16",3189.89,6057.87,2608.65,3837.32,3779.83
"2017-10-17",3296.22,5626.37,3299.92,4685.27,3694.42
"2017-10-18",3293.82,6036.01,2929.26,4952.73,3789.86
"2017-10-19",3626.06,6369.18,3134.93,5011.99,4514.99
"2017-10-20",5358.43,9722.29,3445.32,7161.81,6064.55
"2017-10-21",10097.78,11984.96,4530.2,9054.32,7301.13
"2017-10-22",7425.57,9491.23,2510.8,6946.66,5302.03
"2017-10-23",3507.26,5872.81,3232.27,3909.21,3710.1
"2017-10-24",3404.6,5913.63,2847.74,4794.3,3869.95
"2017-10-25",3468.63,6189.61,2706.43,4189.58,3709.27
"2017-10-26",3783.32,7374.6,2840.72,5391.98,4192.78
"2017-10-27",5548.83,10625.38,3551.64,6458.93,6198.12
"2017-10-28",9361.59,12739.27,3948.51,8828.88,6610.76
"2017-10-29",6720.72,9418.01,3090.26,6539.46,5197.69
"2017-10-30",3656.82,6573.23,3236.45,4785.32,4312.34
"2017-10-31",6620.27,9105.59,3725.13,7457.52,6215.76
"2017-11-01",7467.07,10371.6,2830.52,6608.3,4590.04
"2017-11-02",2974.63,6954.28,2696.7,4781.27,3295.71
"2017-11-03",5173.13,9290.57,3010.35,6167.04,5062.42
"2017-11-04",9647.82,11374.07,3681.0,7800.21,6587.44
"2017-11-05",6804.14,8660.91,2332.18,6003.45,3856.44
"2017-11-06",3243.06,5712.54,2921.67,3930.78,3270.2
"2017-11-07",3359.23,5415.81,2414.62,4012.14,3129.72
"2017-11-08",3933.08,6119.34,2811.11,4342.39,4013.86
"2017-11-09",3218.27,6632.11,2956.61,5270.34,4128.22
"2017-11-10",5277.59,9902.57,2991.76,7343.47,5544.04
"2017-11-11",10414.61,11935.5,3638.26,8494.79,5918.69
"2017-11-12",8153.6,9658.34,2705.03,6251.78,4602.01
